,Auckland,Hamilton,Tauranga,Wellington,Christchurch,Dunedin,Whangarei,Rotorua,Gisborne,Hastings,Napier,New Plymouth,Whanganui,Palmerston North,Kapiti Coast,Nelson,Invercargill,Cambridge,Te Awamutu,Tokoroa,Taupo,Whakatane,Feilding,Levin,Masterton,Blenheim,Greymouth,Ashburton,Timaru,Oamaru,Queenstown,Kaitaia,Kerikeri,Warkworth,Whitianga,Thames,Waihi,Huntly,Morrinsville,Matamata,Katikati,Te Puke,Kawerau,Stratford,Hawera,Marton,Dannevirke,Otaki,Motueka,Cromwell,Alexandra,Wanaka,Gore
u30.0km_u80deg,1647.08,2779.50,1589.91,1043.42,1946.33,1371.40,2249.90,2617.53,1651.38,1981.55,1592.74,1376.60,1795.74,2786.00,1492.34,1894.48,1919.64,2793.67,2791.41,2789.05,2288.56,1311.24,2787.67,1991.93,2810.02,2100.11,1455.73,2444.48,1615.22,1500.95,2516.98,1736.51,1986.21,1586.11,1389.32,2162.90,1882.66,2728.22,2806.55,2777.71,1930.90,1741.83,2523.69,2797.04,2552.37,2484.00,2807.84,1656.47,1683.87,2779.81,2782.18,2550.55,2807.17
u30.0km_u85deg,1647.08,2779.50,1589.91,1043.42,1946.33,1371.40,2249.90,2617.53,1651.38,1981.55,1592.74,1376.60,1795.74,2786.00,1492.34,1894.48,1919.64,2793.67,2791.41,2789.05,2288.56,1311.24,2787.67,1991.93,2810.02,2100.11,1455.73,2444.48,1615.22,1500.95,2516.98,1736.51,1986.21,1586.11,1389.32,2162.90,1882.66,2728.22,2806.55,2777.71,1930.90,1741.83,2523.69,2797.04,2552.37,2484.00,2807.84,1656.47,1683.87,2779.81,2782.18,2550.55,2807.17
u30.0km_u90deg,1647.08,2779.50,1589.91,1043.42,1946.33,1371.40,2249.90,2617.53,1651.38,1981.55,1592.74,1376.60,1795.74,2786.00,1492.34,1894.48,1919.64,2793.67,2791.41,2789.05,2288.56,1311.24,2787.67,1991.93,2810.02,2100.11,1455.73,2444.48,1615.22,1500.95,2516.98,1736.51,1986.21,1586.11,1389.32,2162.90,1882.66,2728.22,2806.55,2777.71,1930.90,1741.83,2523.69,2797.04,2552.37,2484.00,2807.84,1656.47,1683.87,2779.81,2782.18,2550.55,2807.17
u35.0km_u0deg,0.71,0.75,0.33,0.45,1.71,0.66,0.56,1.17,0.46,1.15,0.83,0.39,0.72,1.21,0.30,0.27,1.18,0.81,0.80,1.00,0.50,0.55,1.24,0.89,1.18,0.76,1.44,0.62,0.63,0.78,1.12,0.40,0.43,0.33,0.09,0.54,0.45,1.43,0.94,0.80,0.37,0.48,1.38,0.65,0.59,1.20,1.02,0.65,0.33,1.26,1.99,1.41,1.48
u35.0km_u5deg,1153.03,2403.95,1107.61,272.96,1950.82,592.18,1100.47,1503.99,470.59,1189.54,921.11,1077.93,916.15,2406.18,419.50,450.94,2346.00,2773.84,2076.36,1719.00,1862.23,727.88,2471.95,1190.09,1156.36,780.50,888.72,3128.72,1509.82,1067.18,258.44,833.04,903.89,747.42,256.58,1089.78,1379.97,2163.51,2723.39,2202.46,1531.89,1076.09,1263.03,1859.63,1710.69,1967.09,1302.05,641.14,549.18,854.27,1239.91,598.92,2187.88
u35.0km_u10deg,1585.29,2877.50,1496.13,415.99,2044.60,914.54,1708.82,2252.03,786.04,1669.48,1302.61,1366.79,1155.03,2764.31,593.84,692.45,2433.23,3254.68,2687.27,2544.31,2452.37,947.34,2842.58,1357.10,1640.31,999.96,1118.03,3136.17,1778.92,1387.50,509.37,1208.77,1435.90,1235.75,501.10,1465.56,1648.85,2701.04,3077.03,2784.93,1868.17,1505.13,1790.75,2310.37,2080.28,2293.11,1947.83,774.80,817.52,1430.73,2047.26,914.15,2898.70
u35.0km_u15deg,1831.27,3205.98,1736.36,567.95,2158.21,1178.13,2143.17,2704.47,1157.10,2005.71,1588.17,1507.68,1369.02,3024.93,786.29,962.50,2465.58,3511.39,3099.43,3011.38,2752.92,1140.77,3096.48,1518.00,2115.55,1247.43,1291.67,3140.43,1930.09,1591.97,843.22,1553.99,1846.37,1549.18,775.18,1853.70,1894.43,3086.69,3328.19,3129.17,2106.54,1768.26,2172.59,2597.81,2318.39,2533.04,2464.52,925.03,1081.55,1963.45,2622.77,1278.65,3298.96
u35.0km_u20deg,1980.68,3441.54,1901.89,728.12,2272.64,1392.10,2439.74,3019.28,1518.88,2240.34,1807.42,1605.33,1594.43,3244.55,1006.66,1275.96,2479.45,3658.39,3385.66,3312.84,2942.15,1320.02,3292.53,1701.78,2565.02,1543.53,1454.99,3143.62,2030.18,1734.06,1264.35,1812.38,2155.28,1741.60,1035.20,2205.24,2099.91,3357.66,3512.66,3352.17,2283.83,1948.85,2480.54,2857.90,2543.23,2739.50,2886.16,1113.35,1353.92,2460.46,3047.65,1698.98,3539.05
u35.0km_u25deg,2071.68,3602.93,2019.25,883.10,2374.09,1558.85,2642.62,3249.12,1814.95,2396.33,1970.15,1680.84,1821.08,3425.62,1238.92,1599.56,2485.12,3739.77,3578.93,3516.08,3067.84,1480.84,3441.01,1900.94,2949.74,1855.34,1605.75,3146.08,2099.03,1837.26,1730.90,1981.14,2372.34,1852.78,1252.45,2489.47,2257.25,3537.51,3640.28,3499.88,2411.75,2076.25,2735.17,3100.51,2759.91,2914.73,3216.36,1329.96,1617.67,2892.80,3353.24,2136.50,3682.58
u35.0km_u30deg,2121.74,3698.86,2099.49,1020.82,2457.78,1679.14,2767.22,3411.67,2021.69,2487.92,2077.73,1740.16,2038.90,3567.03,1465.57,1910.07,2487.19,3779.30,3697.66,3647.48,3149.38,1613.37,3547.66,2101.22,3251.06,2150.55,1736.36,3147.83,2147.58,1914.68,2197.16,2079.38,2506.59,1907.70,1412.89,2695.43,2367.84,3638.30,3720.20,3594.77,2498.44,2160.73,2936.79,3324.01,2966.21,3055.65,3462.44,1557.05,1857.42,3236.75,3557.86,2545.71,3762.06
u35.0km_u35deg,2146.23,3745.47,2148.36,1133.34,2515.33,1753.28,2830.33,3514.57,2142.85,2533.18,2137.75,1784.63,2226.31,3664.09,1677.74,2193.68,2487.85,3795.52,3760.47,3723.43,3195.32,1712.04,3616.68,2294.04,3482.38,2408.39,1841.92,3148.87,2180.91,1972.46,2630.65,2129.59,2575.44,1929.96,1514.59,2822.98,2437.63,3681.25,3764.77,3652.05,2551.78,2207.60,3081.16,3506.03,3139.61,3154.59,3631.84,1786.82,2061.88,3485.76,3680.76,2898.48,3800.67
u35.0km_u40deg,2156.88,3764.29,2175.10,1209.15,2547.00,1791.25,2856.99,3572.37,2199.14,2552.61,2166.30,1811.70,2347.19,3718.93,1847.06,2411.45,2488.02,3801.63,3788.88,3763.36,3218.31,1774.75,3654.70,2454.04,3647.88,2590.64,1917.84,3149.37,2200.61,2010.54,2988.18,2152.27,2605.52,1937.48,1568.09,2888.70,2476.04,3695.76,3787.62,3684.20,2580.72,2229.52,3172.03,3615.55,3246.32,3208.62,3735.24,1985.72,2212.87,3641.78,3744.21,3166.49,3816.41
u35.0km_u45deg,2161.15,3770.56,2187.89,1251.52,2561.59,1807.49,2866.64,3601.04,2220.85,2560.43,2178.86,1825.26,2407.91,3744.85,1954.25,2543.64,2488.06,3803.70,3799.75,3781.35,3228.66,1810.76,3672.63,2558.27,3750.64,2692.24,1965.91,3149.57,2210.16,2031.94,3242.27,2160.58,2616.79,1939.68,1592.59,2917.79,2493.85,3699.80,3797.88,3699.33,2594.19,2239.03,3224.73,3667.76,3297.96,3232.55,3788.69,2118.90,2306.50,3727.42,3772.89,3343.40,3821.66
u35.0km_u50deg,2162.80,3772.22,2192.87,1270.26,2566.80,1813.08,2869.61,3612.98,2227.56,2563.21,2183.88,1830.98,2432.32,3754.50,2007.23,2610.73,2488.07,3804.27,3803.11,3787.96,3232.84,1827.25,3679.47,2610.02,3801.48,2739.11,1991.38,3149.62,2213.97,2041.90,3397.43,2163.20,2620.25,1940.18,1602.53,2929.18,2500.76,3700.60,3801.71,3705.11,2599.45,2242.56,3249.88,3687.57,3317.91,3241.16,3811.23,2186.87,2355.52,3767.69,3783.61,3445.00,3822.87
u35.0km_u55deg,2163.39,3772.51,2194.31,1276.42,2567.95,1814.48,2870.28,3616.83,2228.90,2563.99,2185.55,1832.88,2438.75,3757.07,2026.81,2637.41,2488.07,3804.38,3803.84,3789.79,3234.26,1833.16,3681.38,2629.64,3821.05,2754.62,2002.24,3149.63,2214.94,2045.20,3474.27,2163.78,2621.03,1940.25,1605.89,2932.93,2502.80,3700.69,3802.79,3706.72,2600.94,2243.58,3259.49,3692.75,3323.21,3243.12,3818.11,2213.05,2377.20,3782.95,3786.76,3492.50,3823.04
u35.0km_u60deg,2163.58,3772.53,2194.64,1277.54,2568.09,1814.77,2870.41,3617.75,2229.09,2564.16,2186.00,1833.39,2439.64,3757.41,2031.08,2644.69,2488.07,3804.40,3803.93,3790.15,3234.70,1834.60,3681.67,2633.80,3825.56,2757.89,2005.24,3149.63,2215.11,2045.81,3503.20,2163.85,2621.15,1940.26,1606.79,2933.90,2503.19,3700.70,3803.00,3707.00,2601.22,2243.87,3262.12,3693.72,3324.21,3243.35,3819.21,2218.93,2384.25,3787.46,3787.52,3509.30,3823.05
u35.0km_u65deg,2163.62,3772.53,2194.70,1277.62,2568.11,1814.82,2870.43,3617.93,2229.12,2564.18,2186.12,1833.50,2439.70,3757.42,2031.46,2646.13,2488.07,3804.40,3803.93,3790.23,3234.82,1834.81,3681.69,2634.16,3825.99,2758.31,2005.79,3149.63,2215.14,2045.86,3511.85,2163.85,2621.17,1940.26,1606.99,2934.12,2503.24,3700.70,3803.03,3707.05,2601.25,2243.94,3262.51,3693.90,3324.38,3243.37,3819.28,2219.44,2385.78,3788.60,3787.63,3513.97,3823.05
u35.0km_u70deg,2163.63,3772.53,2194.72,1277.62,2568.11,1814.83,2870.43,3617.98,2229.12,2564.18,2186.14,1833.51,2439.70,3757.42,2031.47,2646.34,2488.07,3804.40,3803.93,3790.25,3234.84,1834.83,3681.69,2634.18,3826.01,2758.34,2005.85,3149.63,2215.14,2045.86,3513.81,2163.85,2621.17,1940.26,1607.01,2934.15,2503.24,3700.70,3803.03,3707.07,2601.26,2243.96,3262.55,3693.92,3324.41,3243.37,3819.28,2219.46,2385.94,3788.80,3787.64,3514.83,3823.05
u35.0km_u75deg,2163.63,3772.53,2194.72,1277.62,2568.11,1814.83,2870.43,3617.98,2229.12,2564.18,2186.14,1833.52,2439.70,3757.42,2031.47,2646.35,2488.07,3804.40,3803.93,3790.26,3234.84,1834.83,3681.69,2634.18,3826.01,2758.34,2005.86,3149.63,2215.14,2045.87,3514.09,2163.85,2621.17,1940.26,1607.01,2934.15,2503.24,3700.70,3803.03,3707.07,2601.26,2243.96,3262.55,3693.92,3324.41,3243.37,3819.28,2219.46,2385.95,3788.81,3787.64,3514.89,3823.05
u35.0km_u80deg,2163.63,3772.53,2194.72,1277.62,2568.11,1814.83,2870.43,3617.98,2229.12,2564.18,2186.14,1833.52,2439.70,3757.42,2031.47,2646.35,2488.07,3804.40,3803.93,3790.26,3234.84,1834.83,3681.69,2634.18,3826.01,2758.34,2005.86,3149.63,2215.14,2045.87,3514.11,2163.85,2621.17,1940.26,1607.01,2934.15,2503.24,3700.70,3803.03,3707.07,2601.26,2243.96,3262.55,3693.92,3324.41,3243.37,3819.28,2219.46,2385.95,3788.81,3787.64,3514.89,3823.05
u35.0km_u85deg,2163.63,3772.53,2194.72,1277.62,2568.11,1814.83,2870.43,3617.98,2229.12,2564.18,2186.14,1833.52,2439.70,3757.42,2031.47,2646.35,2488.07,3804.40,3803.93,3790.26,3234.84,1834.83,3681.69,2634.18,3826.01,2758.34,2005.86,3149.63,2215.14,2045.87,3514.11,2163.85,2621.17,1940.26,1607.01,2934.15,2503.24,3700.70,3803.03,3707.07,2601.26,2243.96,3262.55,3693.92,3324.41,3243.37,3819.28,2219.46,2385.95,3788.81,3787.64,3514.90,3823.05
u35.0km_u90deg,2163.63,3772.53,2194.72,1277.62,2568.11,1814.83,2870.43,3617.98,2229.12,2564.18,2186.14,1833.52,2439.70,3757.42,2031.47,2646.35,2488.07,3804.40,3803.93,3790.26,3234.84,1834.83,3681.69,2634.18,3826.01,2758.34,2005.86,3149.63,2215.14,2045.87,3514.11,2163.85,2621.17,1940.26,1607.01,2934.15,2503.24,3700.70,3803.03,3707.07,2601.26,2243.96,3262.55,3693.92,3324.41,3243.37,3819.28,2219.46,2385.95,3788.81,3787.64,3514.90,3823.05
u40.0km_u0deg,0.87,1.03,0.57,1.44,2.44,0.90,0.68,1.43,0.57,1.38,1.05,0.45,0.90,1.56,0.72,0.33,1.39,1.06,1.02,1.24,0.75,0.63,1.51,1.04,2.23,0.84,1.58,0.80,0.79,0.94,1.52,0.48,0.51,0.50,0.11,0.72,0.54,1.75,1.19,1.05,0.61,0.71,1.54,0.79,0.73,1.46,1.55,0.79,0.39,1.74,2.50,1.97,1.90
u40.0km_u5deg,1383.66,2986.34,1537.66,376.32,2445.37,781.55,1299.71,2087.18,553.54,1449.58,1139.64,1376.75,1184.28,2862.63,614.12,613.70,2826.80,3406.08,2585.82,2198.15,2442.91,826.68,2909.90,1539.70,1435.42,863.97,1163.71,3839.09,1868.73,1231.87,390.72,950.97,1096.12,932.94,292.85,1394.72,1790.43,2847.03,3421.07,2890.38,1990.03,1325.15,1599.62,2243.37,2013.94,2346.31,1792.09,846.07,628.07,1144.37,1559.12,684.04,2877.76
u40.0km_u10deg,1925.97,3666.62,2019.24,546.24,2574.01,1218.38,2049.56,3032.75,969.32,2076.47,1680.71,1716.40,1479.11,3333.35,825.45,916.88,3011.96,4062.19,3403.88,3264.17,3236.48,1118.85,3402.35,1777.86,2049.59,1138.60,1462.33,3871.29,2203.97,1639.88,748.55,1403.87,1766.15,1531.48,569.89,1883.19,2136.57,3497.29,3931.11,3615.35,2434.02,1880.79,2229.01,2771.13,2484.69,2757.65,2629.65,1045.11,955.71,1872.33,2579.85,1083.50,3769.61
u40.0km_u15deg,2248.93,4133.42,2319.06,724.60,2723.77,1561.43,2603.65,3612.83,1464.12,2508.69,2075.32,1889.64,1750.33,3696.09,1058.90,1270.57,3089.03,4439.04,3962.28,3876.54,3660.99,1380.22,3760.79,1998.36,2665.30,1458.18,1686.58,3889.20,2409.39,1921.45,1216.89,1815.14,2301.87,1912.84,878.12,2374.71,2444.90,3962.57,4281.73,4048.41,2747.03,2223.09,2683.00,3119.40,2796.87,3076.02,3295.32,1261.04,1297.92,2542.81,3329.41,1559.28,4283.54
u40.0km_u20deg,2453.12,4459.81,2527.94,912.77,2871.20,1833.62,2988.17,4020.10,1946.66,2809.49,2371.26,2018.91,2042.92,4010.63,1328.08,1689.46,3123.28,4675.09,4357.38,4275.48,3935.54,1627.98,4048.06,2238.73,3257.55,1848.79,1896.98,3903.10,2561.42,2134.45,1789.22,2121.10,2702.36,2145.38,1170.50,2815.80,2702.80,4288.84,4534.06,4330.75,2977.32,2458.23,3051.73,3446.55,3094.19,3360.47,3832.65,1519.97,1666.11,3172.07,3899.38,2119.62,4600.75
u40.0km_u25deg,2581.13,4678.61,2677.23,1095.31,2999.35,2041.87,3251.97,4317.41,2340.62,3009.29,2587.42,2125.28,2342.27,4273.31,1614.77,2125.27,3138.42,4822.45,4630.19,4545.53,4120.43,1857.53,4271.88,2490.13,3771.69,2264.90,2091.87,3914.00,2678.32,2299.95,2406.95,2320.69,2978.98,2280.41,1415.35,3168.37,2900.68,4504.45,4706.25,4517.34,3141.22,2624.21,3360.25,3761.64,3383.24,3609.59,4247.06,1806.40,2030.99,3723.56,4319.09,2711.95,4795.69
u40.0km_u30deg,2652.57,4806.80,2779.50,1258.58,3103.06,2189.35,3415.94,4526.43,2616.00,3128.29,2729.27,2213.25,2635.13,4478.79,1896.82,2544.50,3144.70,4905.65,4801.63,4720.19,4241.70,2055.44,4435.34,2736.54,4179.11,2665.22,2262.95,3922.59,2771.24,2431.37,3011.95,2436.49,3147.16,2348.45,1597.05,3419.18,3039.39,4625.21,4811.66,4636.00,3250.57,2735.24,3608.92,4060.36,3660.52,3816.99,4550.83,2098.81,2368.06,4167.18,4607.07,3274.37,4906.38
u40.0km_u35deg,2687.09,4868.37,2841.28,1393.37,3173.22,2278.63,3501.09,4656.90,2778.42,3188.77,2808.90,2281.32,2890.73,4621.33,2162.22,2923.80,3146.92,4946.18,4894.25,4820.30,4311.43,2213.37,4541.55,2970.29,4493.98,3024.80,2404.27,3928.75,2840.75,2532.00,3566.68,2495.87,3231.94,2377.02,1712.87,3570.40,3126.54,4677.23,4868.21,4706.19,3316.53,2798.29,3793.12,4311.85,3897.72,3966.94,4756.94,2384.25,2661.90,4492.67,4783.78,3765.25,4961.03
u40.0km_u40deg,2701.62,4892.85,2874.41,1484.94,3211.19,2323.75,3538.31,4728.60,2855.18,3215.80,2846.89,2323.57,3057.52,4704.96,2373.68,3210.55,3147.57,4963.50,4937.32,4872.03,4346.30,2324.55,4600.31,3162.88,4718.91,3287.87,2508.84,3932.35,2882.73,2597.68,4018.59,2522.99,3268.45,2387.11,1774.16,3645.90,3174.69,4695.17,4895.68,4744.51,3351.64,2829.08,3914.23,4468.77,4047.36,4049.37,4883.04,2619.25,2884.23,4701.22,4877.28,4142.26,4983.70
u40.0km_u45deg,2707.18,4900.98,2889.95,1536.18,3228.37,2342.86,3552.13,4763.51,2885.43,3227.03,2863.71,2344.83,3141.65,4746.46,2506.63,3382.85,3147.74,4969.81,4954.57,4895.16,4361.80,2395.80,4628.28,3288.42,4855.86,3438.57,2577.47,3934.14,2903.42,2633.50,4336.96,2533.12,3281.99,2390.13,1802.11,3678.43,3197.66,4700.24,4907.47,4762.27,3367.63,2842.98,3986.68,4545.23,4121.18,4086.12,4949.58,2770.81,3024.03,4817.75,4920.50,4393.89,4991.49
u40.0km_u50deg,2709.21,4903.11,2895.90,1559.08,3234.38,2349.38,3556.53,4777.76,2895.01,3231.23,2870.41,2353.64,3175.43,4762.90,2571.82,3469.21,3147.75,4971.70,4960.21,4903.71,4367.84,2431.70,4639.16,3351.26,4922.28,3510.32,2615.89,3934.76,2911.44,2649.17,4531.16,2536.37,3286.13,2390.85,1813.31,3690.87,3207.07,4701.31,4911.71,4768.95,3373.76,2848.28,4022.03,4574.53,4149.99,4099.34,4978.52,2846.22,3098.10,4873.37,4937.11,4541.13,4993.38
u40.0km_u55deg,2709.89,4903.47,2897.56,1566.72,3235.71,2350.98,3557.56,4782.27,2897.12,3232.51,2872.65,2356.36,3184.35,4767.68,2595.70,3502.81,3147.75,4972.10,4961.56,4906.14,4369.77,2445.76,4642.32,3375.18,4947.06,3534.85,2633.58,3934.92,2913.42,2653.87,4628.28,2537.10,3287.13,2390.96,1817.07,3694.86,3210.16,4701.45,4912.87,4770.79,3375.49,2849.86,4035.62,4582.24,4157.64,4102.41,4987.97,2874.41,3130.47,4894.19,4942.11,4612.35,4993.67
u40.0km_u60deg,2710.09,4903.50,2897.93,1568.28,3235.88,2351.32,3557.74,4783.32,2897.48,3232.80,2873.24,2356.98,3185.59,4768.38,2600.78,3511.67,3147.75,4972.16,4961.75,4906.65,4370.32,2449.45,4642.80,3380.44,4952.51,3540.17,2639.27,3934.94,2913.75,2654.65,4666.34,2537.18,3287.32,2390.96,1818.05,3695.89,3210.92,4701.46,4913.09,4771.11,3375.82,2850.29,4039.25,4583.53,4158.94,4102.82,4989.70,2880.49,3140.33,4899.96,4943.26,4639.29,4993.69
u40.0km_u65deg,2710.13,4903.50,2898.00,1568.47,3235.90,2351.37,3557.77,4783.52,2897.54,3232.84,2873.38,2357.10,3185.68,4768.42,2601.23,3513.32,3147.75,4972.16,4961.77,4906.77,4370.46,2449.93,4642.83,3380.91,4952.98,3540.86,2640.56,3934.95,2913.78,2654.71,4678.76,2537.19,3287.36,2390.96,1818.27,3696.11,3211.07,4701.46,4913.12,4771.16,3375.86,2850.38,4039.76,4583.72,4159.12,4102.86,4989.82,2881.01,3142.23,4901.28,4943.43,4647.54,4993.69
u40.0km_u70deg,2710.14,4903.50,2898.02,1568.49,3235.90,2351.38,3557.77,4783.57,2897.54,3232.84,2873.40,2357.11,3185.69,4768.42,2601.24,3513.53,3147.75,4972.16,4961.77,4906.81,4370.48,2449.96,4642.83,3380.92,4953.00,3540.92,2640.73,3934.95,2913.78,2654.72,4681.90,2537.19,3287.36,2390.96,1818.29,3696.15,3211.08,4701.46,4913.12,4771.18,3375.86,2850.41,4039.81,4583.75,4159.15,4102.86,4989.82,2881.03,3142.41,4901.49,4943.45,4649.30,4993.69
u40.0km_u75deg,2710.14,4903.50,2898.02,1568.49,3235.90,2351.38,3557.77,4783.57,2897.54,3232.84,2873.40,2357.11,3185.69,4768.42,2601.24,3513.54,3147.75,4972.16,4961.77,4906.81,4370.48,2449.96,4642.83,3380.92,4953.00,3540.92,2640.73,3934.95,2913.78,2654.72,4682.42,2537.19,3287.36,2390.96,1818.29,3696.15,3211.09,4701.46,4913.12,4771.18,3375.86,2850.41,4039.81,4583.75,4159.15,4102.86,4989.83,2881.03,3142.42,4901.51,4943.45,4649.47,4993.69
u40.0km_u80deg,2710.14,4903.50,2898.02,1568.49,3235.90,2351.38,3557.77,4783.57,2897.54,3232.84,2873.40,2357.11,3185.69,4768.42,2601.24,3513.54,3147.75,4972.16,4961.77,4906.81,4370.48,2449.96,4642.83,3380.92,4953.00,3540.92,2640.73,3934.95,2913.78,2654.72,4682.45,2537.19,3287.36,2390.96,1818.29,3696.15,3211.09,4701.46,4913.12,4771.18,3375.86,2850.41,4039.81,4583.75,4159.15,4102.86,4989.83,2881.03,3142.42,4901.51,4943.45,4649.48,4993.69
u40.0km_u85deg,2710.14,4903.50,2898.02,1568.49,3235.90,2351.38,3557.77,4783.57,2897.54,3232.84,2873.40,2357.11,3185.69,4768.42,2601.24,3513.54,3147.75,4972.16,4961.77,4906.81,4370.48,2449.96,4642.83,3380.92,4953.00,3540.92,2640.73,3934.95,2913.78,2654.72,4682.45,2537.19,3287.36,2390.96,1818.29,3696.15,3211.09,4701.46,4913.12,4771.18,3375.86,2850.41,4039.81,4583.75,4159.15,4102.86,4989.83,2881.03,3142.42,4901.51,4943.45,4649.48,4993.69
u40.0km_u90deg,2710.14,4903.50,2898.02,1568.49,3235.90,2351.38,3557.77,4783.57,2897.54,3232.84,2873.40,2357.11,3185.69,4768.42,2601.24,3513.54,3147.75,4972.16,4961.77,4906.81,4370.48,2449.96,4642.83,3380.92,4953.00,3540.92,2640.73,3934.95,2913.78,2654.72,4682.45,2537.19,3287.36,2390.96,1818.29,3696.15,3211.09,4701.46,4913.12,4771.18,3375.86,2850.41,4039.81,4583.75,4159.15,4102.86,4989.83,2881.03,3142.42,4901.51,4943.45,4649.48,4993.69
u45.0km_u0deg,0.98,1.44,0.76,4.41,2.64,1.33,0.76,1.70,0.69,1.61,1.29,0.51,1.22,1.80,5.68,0.41,1.68,1.32,1.21,1.57,0.96,0.72,1.80,1.21,4.72,0.91,1.80,1.00,0.99,1.14,1.95,0.60,0.59,0.63,0.15,1.20,0.61,2.00,1.58,1.24,0.84,1.10,1.66,0.89,0.89,1.72,2.06,0.93,0.48,2.30,3.13,3.23,2.39
u45.0km_u5deg,1602.42,3646.79,1993.33,477.74,2975.91,1024.06,1540.10,2755.33,656.69,1701.51,1331.48,1714.85,1473.36,3276.35,906.92,775.34,3286.52,3968.28,3212.56,2806.45,3062.61,966.01,3309.13,1942.56,1687.46,942.49,1408.20,4412.53,2257.99,1453.27,570.74,1087.86,1260.68,1179.98,366.64,1789.30,2172.47,3553.96,4108.36,3645.74,2475.98,1702.00,1976.05,2472.29,2342.84,2683.16,2315.23,1278.34,700.47,1492.67,1967.74,781.11,3606.56
u45.0km_u10deg,2244.03,4509.94,2583.16,684.56,3154.42,1606.21,2463.57,3922.99,1180.89,2477.23,2043.73,2102.01,1849.71,3883.02,1154.23,1159.47,3615.15,4852.38,4243.06,4145.90,4096.75,1338.31,3931.84,2259.97,2437.78,1266.51,1776.69,4497.81,2687.84,1961.04,1065.57,1614.46,2071.99,1891.45,675.38,2376.68,2618.00,4323.51,4816.07,4530.37,3054.99,2374.30,2721.00,3049.92,2903.59,3204.22,3358.03,1538.39,1093.71,2389.01,3193.99,1276.12,4700.84
u45.0km_u15deg,2637.08,5110.78,2942.95,899.92,3346.49,2036.83,3151.47,4633.51,1800.70,3017.18,2569.15,2310.34,2199.01,4370.54,1426.01,1615.87,3777.26,5395.30,4948.64,4913.94,4668.50,1666.99,4406.93,2554.83,3199.35,1655.07,2055.96,4557.88,2966.94,2324.36,1677.62,2089.71,2749.93,2329.68,1016.69,2951.06,3003.36,4871.51,5294.48,5052.51,3466.94,2789.68,3252.62,3448.04,3287.08,3628.97,4203.28,1808.39,1525.45,3208.13,4127.62,1877.60,5351.15
u45.0km_u20deg,2892.35,5533.45,3194.14,1128.91,3529.77,2366.05,3633.24,5126.91,2404.56,3398.03,2963.64,2474.11,2575.81,4800.45,1740.56,2159.77,3857.82,5761.99,5447.57,5413.07,5047.01,1983.54,4805.52,2865.73,3937.12,2143.21,2320.97,4613.64,3183.65,2610.13,2403.85,2442.37,3262.65,2593.15,1339.74,3460.94,3325.65,5256.78,5635.72,5393.51,3766.67,3078.38,3688.23,3838.74,3660.00,4017.29,4886.12,2118.93,2004.13,3977.23,4858.16,2593.61,5765.10
u45.0km_u25deg,3055.86,5817.57,3375.69,1353.48,3686.08,2611.32,3965.05,5482.62,2901.57,3658.22,3252.64,2614.05,2960.83,5160.95,2076.43,2729.77,3896.74,6009.37,5791.37,5751.01,5307.97,2285.89,5129.06,3179.85,4580.10,2671.97,2571.90,4664.59,3356.17,2839.02,3174.96,2673.40,3615.87,2747.38,1610.30,3865.80,3573.88,5511.54,5867.34,5619.85,3976.89,3285.56,4059.11,4227.26,4028.67,4361.80,5408.98,2451.57,2484.92,4656.03,5407.73,3356.63,6027.76
u45.0km_u30deg,3148.99,5984.84,3501.70,1557.34,3811.29,2780.91,4171.29,5729.48,3253.81,3821.63,3446.21,2733.29,3337.30,5441.34,2407.79,3278.21,3914.22,6160.56,6006.61,5969.72,5484.35,2558.00,5374.94,3478.56,5088.89,3191.97,2797.88,4710.83,3497.16,3024.58,3923.57,2809.09,3828.22,2827.44,1811.68,4151.07,3747.92,5654.97,6007.33,5763.72,4115.07,3427.70,4365.52,4605.83,4386.78,4652.25,5785.85,2782.83,2935.57,5206.77,5792.36,4089.72,6184.11
u45.0km_u35deg,3194.60,6065.77,3578.85,1726.76,3896.02,2881.34,4277.34,5881.51,3466.10,3912.06,3559.40,2826.25,3664.36,5636.57,2719.68,3771.33,3921.03,6240.52,6122.12,6095.31,5591.46,2787.89,5539.85,3754.01,5475.46,3672.42,2991.98,4752.70,3604.67,3167.59,4607.08,2880.10,3933.52,2863.29,1940.93,4320.44,3856.83,5718.05,6080.34,5848.08,4196.89,3512.91,4602.24,4935.37,4699.27,4864.62,6036.22,3098.70,3338.67,5614.55,6034.64,4738.19,6265.38
u45.0km_u40deg,3213.74,6098.62,3620.28,1841.44,3941.68,2931.24,4323.03,5963.84,3569.79,3956.07,3616.11,2882.87,3874.43,5754.61,2968.07,4139.16,3923.22,6277.54,6175.67,6160.30,5648.05,2962.14,5632.25,3975.54,5745.14,4029.39,3143.63,4784.34,3669.88,3260.15,5162.64,2913.42,3978.12,2877.51,2009.85,4403.65,3916.75,5740.50,6114.26,5893.64,4239.97,3557.61,4766.89,5146.73,4901.39,4981.59,6187.34,3353.30,3651.22,5879.13,6166.94,5240.68,6301.65
